TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
10/08/2025,NED_NEDIN_G1,GKS_BESS_RN,PeakWE,11/01/2025,-8.9099,-2.8953
10/08/2025,NCARBIDE_1_7,FPPYD_FPP_G1,PeakWE,11/01/2025,-10.1417,-1.3648
10/08/2025,MLSES_UNIT1,SAMSON_ALL,PeakWE,11/01/2025,-4.7215,0.2728
10/08/2025,MIL_MILG1_2,LGW_UNIT_ALL,PeakWE,11/01/2025,-11.4811,-4.4396
10/08/2025,TAHOKA_ALL,PHO_ALL,PeakWE,11/01/2025,-17.5829,-5.8671
10/08/2025,HELIOS_RN,LOS_LOSTPGT1,PeakWE,11/01/2025,-8.9685,-8.7659
10/08/2025,ELECTRAW_1_2,WCPP_CT2,PeakWE,11/01/2025,-1.2945,2.2159
10/08/2025,ELECTRAW_1_2,FOARDCTY_ALL,PeakWE,11/01/2025,-0.8365,-0.5311
10/08/2025,ELECTRAW_1_2,LPCCS_CT12,PeakWE,11/01/2025,-21.6822,1.498
10/08/2025,BTM_ALL,BYRDR_ES_ALL,PeakWE,11/01/2025,-1.9507,0.6298
10/08/2025,OLNEYTN_RN,GRSES_UNIT1,PeakWE,11/01/2025,-21.6409,-12.0
10/08/2025,LON_RN1,WAP_WAP_G3,PeakWE,11/01/2025,-0.3705,-1.0036
10/08/2025,LON_RN1,TC_PUN1,PeakWE,11/01/2025,-1.0603,-3.1373
10/08/2025,SADLBACK_RN,GREASWOD_ALL,PeakWE,11/01/2025,-6.2776,-2.5529
10/08/2025,ROW_ALL,WAP_WAP_G7,PeakWE,11/01/2025,-1.0488,0.3647
10/08/2025,HB_PAN,HB_WEST,PeakWE,11/01/2025,0.2362,8.2609
10/08/2025,HB_PAN,FOARDCTY_ALL,PeakWE,11/01/2025,-0.025,2.3917
10/08/2025,CHISMGRD_RN,TGCCS_ALL,PeakWE,11/01/2025,-7.9682,0.1998
10/08/2025,WOODWRD2_RN,KINGW_ALL,PeakWE,11/01/2025,-1.0274,-0.1213
10/08/2025,GALO_RN1,MASSENGL_G8,PeakWE,11/01/2025,-31.9211,-16.1628
10/08/2025,PHOENIX_RN,DC_E,PeakWE,11/01/2025,-3.558,-0.3356
10/08/2025,SANTACRU_ALL,DENISON_G1_2,PeakWE,11/01/2025,-5.1999,1.5862
10/08/2025,MIAM1_G1_G2,DKNS_ESS_RN,PeakWE,11/01/2025,-2.3602,1.3303
10/08/2025,GPASTURE_ALL,INRT_W_ALL,PeakWE,11/01/2025,-0.8887,-0.5851
10/08/2025,GPASTURE_ALL,WCPP_CT1,PeakWE,11/01/2025,-1.1149,1.6209
10/08/2025,GPASTURE_ALL,BAIRDWND_ALL,PeakWE,11/01/2025,-0.6209,-0.3236
10/08/2025,FERMI_ALL,FLUVANNA_1_2,PeakWE,11/01/2025,-23.632,-19.5234
10/08/2025,FTWIND_UNIT1,SWTWN4_WND45,PeakWE,11/01/2025,-8.1381,-0.3491
10/08/2025,FTWIND_UNIT1,LONEWOLF_ALL,PeakWE,11/01/2025,-1.4296,0.3429
10/08/2025,FTWIND_UNIT1,TNSKA_CCU,PeakWE,11/01/2025,-9.4261,-1.4815
10/08/2025,RN_RTS1,HI_LONE_ALL,PeakWE,11/01/2025,0.089,2.9321
10/08/2025,CABEZON_ALL,CCEC_PUN1,PeakWE,11/01/2025,-35.8285,1.4786
10/08/2025,CABEZON_ALL,CCEC_GT2,PeakWE,11/01/2025,-35.8285,1.4786
10/08/2025,PH1_UNIT1_2,AEEC,PeakWE,11/01/2025,-5.6702,-1.5989
10/08/2025,TAHOKA_ALL,WEC_WECG1,PeakWE,11/01/2025,-13.6472,-3.4448
10/08/2025,TOPAZ_ALL,TURQ_BESS1,PeakWE,11/01/2025,-18.5617,-9.878
10/08/2025,ASTRA_RN,PALE_ESS_EN,PeakWE,11/01/2025,-1.3363,-1.9057
10/08/2025,HOLSTEIN_ALL,PANDA_S_CT1,PeakWE,11/01/2025,-2.6455,3.101
10/08/2025,HOLSTEIN_ALL,TRENT_TRENT,PeakWE,11/01/2025,-2.9698,3.14
10/08/2025,HOLSTEIN_ALL,SOLARA_UNIT1,PeakWE,11/01/2025,-1.5808,-0.814
10/08/2025,HYDR_ESS_RN,LZ_WEST,PeakWE,11/01/2025,-4.3444,0.4409
10/08/2025,AZURE_RN,LHSES_UNIT2,PeakWE,11/01/2025,-2.3517,0.9721
10/08/2025,SAMSON_ALL,HB_NORTH,PeakWE,11/01/2025,-2.0289,-0.0186
10/08/2025,CBECII_89,HB_HOUSTON,PeakWE,11/01/2025,-0.5556,1.6665
10/08/2025,SBE_RN_1,TAV_RN,PeakWE,11/01/2025,-4.5791,-1.5
10/08/2025,VORT_ALL_RN,SENATEWD_1,PeakWE,11/01/2025,-0.5064,0.3298
10/08/2025,ANCHOR_ALL,MLSES_UNIT1,PeakWE,11/01/2025,-1.9776,0.3824
10/08/2025,RN_APOGEE,IND_INADALE1,PeakWE,11/01/2025,-8.7499,1.5492
10/08/2025,TTRSW_RN,HB_NORTH,PeakWE,11/01/2025,-2.0289,-0.0186
10/08/2025,JCKCNTY2_CT4,WHCCS_CT2,PeakWE,11/01/2025,-1.8481,-0.2985
10/08/2025,LPCCS_CT12,HB_NORTH,PeakWE,11/01/2025,-2.3147,0.4407
10/08/2025,LOS_LOSTPST1,DANSBY_ALL,PeakWE,11/01/2025,-4.2205,-0.5912
10/08/2025,LEONLCPCT3_4,CALAVER_JTD1,PeakWE,11/01/2025,-2.2423,-0.564
10/08/2025,LEONLCPCT1_2,FTR_FTR_G1_4,PeakWE,11/01/2025,-11.3199,-6.1471
10/08/2025,JACKCNTY_CT2,DANSBY_ALL,PeakWE,11/01/2025,-12.0578,-1.2529
10/08/2025,JACKCNTY_CT2,ROSELAND_ALL,PeakWE,11/01/2025,-51.4376,-3.1201
10/08/2025,JACKCNTY_CT1,TNP_TNP_O_2,PeakWE,11/01/2025,-12.0103,-1.7046
10/08/2025,INGLCO_PUN2,FALFUR_RN,PeakWE,11/01/2025,-25.4327,-4.4347
10/08/2025,HLSES_UNIT5,TNSKA_CCU,PeakWE,11/01/2025,-8.5629,-1.6236
10/08/2025,HLSES_UNIT4,VLSES_UNIT3,PeakWE,11/01/2025,-4.6517,-0.2369
10/08/2025,NED_NEDIN_G2,REDGATE_RN,PeakWE,11/01/2025,-6.4722,-6.1222
10/08/2025,NED_NEDIN_G2,FPPYD_FPP_G2,PeakWE,11/01/2025,-93.9165,-2.8853
10/08/2025,MWEC_G1,CSC_CSECG1_2,PeakWE,11/01/2025,-5.3595,-1.1937
10/08/2025,MIL_MILG1_2,FTWIND_UNIT1,PeakWE,11/01/2025,-13.4502,-3.3167
10/08/2025,MGSES_CT123,FLCNS_UNIT1,PeakWE,11/01/2025,-1.3251,-4.0216
10/08/2025,MDANP_CT5_6,SCSES_UNIT2,PeakWE,11/01/2025,-4.1769,0.1142
10/08/2025,MDANP_CT3_4,FRNYPP_1_CCU,PeakWE,11/01/2025,-1.8878,0.1194
10/08/2025,MCDLD_FCSBW1,MGSES_CT123,PeakWE,11/01/2025,-46.0515,-14.0816
10/08/2025,MAR_MARSFOG2,NF_BRP_RN,PeakWE,11/01/2025,-1.9316,1.5106
10/08/2025,PC_NORTH_1,FLCNS_UNIT1,PeakWE,11/01/2025,-5.2489,-3.3899
10/08/2025,PB2SES_CT5,RN_ECEC_HOLT,PeakWE,11/01/2025,-10.518,-2.3274
10/08/2025,PB2SES_CT2,RN_ECEC_HOLT,PeakWE,11/01/2025,-10.518,-2.3274
10/08/2025,PAP1_PAP1,HB_SOUTH,PeakWE,11/01/2025,-0.9269,4.67
10/08/2025,OXY_PUN2,BLACKJAK_RN,PeakWE,11/01/2025,-2.6291,-2.9391
10/08/2025,OLIN_OLING_1,TRSES_UNIT6,PeakWE,11/01/2025,-12.6391,0.2768
10/08/2025,NUE_NUECESG9,SAN_SANMIGG1,PeakWE,11/01/2025,-1.0879,0.3776
10/08/2025,LZ_NORTH,TURQ_BESS1,PeakWE,11/01/2025,-1.3407,-0.5537
10/08/2025,LZ_CPS,LZ_LCRA,PeakWE,11/01/2025,-4.4208,2.76
10/08/2025,DC_L,HB_SOUTH,PeakWE,11/01/2025,-11.5012,10.8886
10/08/2025,HB_SOUTH,LZ_SOUTH,PeakWE,11/01/2025,-22.3679,1.5
10/08/2025,HB_SOUTH,GID_GIDEONG1,PeakWE,11/01/2025,-4.6412,-1.9445
10/08/2025,HB_NORTH,LZ_RAYBN,PeakWE,11/01/2025,-0.8149,1.1123
10/08/2025,HB_NORTH,HB_WEST,PeakWE,11/01/2025,-9.5368,1.7
10/08/2025,HB_NORTH,STAM_SLR_ALL,PeakWE,11/01/2025,-3.6898,-0.1119
10/08/2025,HB_NORTH,WILDWIND_ALL,PeakWE,11/01/2025,-2.4416,-1.1643
10/08/2025,HB_HUBAVG,WAP_WAPGT_1,PeakWE,11/01/2025,-1.4631,-0.1275
10/08/2025,HB_BUSAVG,ATK_ATKINSG7,PeakWE,11/01/2025,-1.2515,0.5529
10/08/2025,HB_BUSAVG,BLUEJAY_RN,PeakWE,11/01/2025,-1.1766,0.2834
10/08/2025,EBNY_ESS_RN,CNTRY_RN,PeakWE,11/01/2025,-16.1983,-3.7114
10/08/2025,TORR_ALL,BLACKJAK_RN,PeakWE,11/01/2025,-2.9465,2.0889
10/08/2025,TORR_ALL,CCEC_PUN2,PeakWE,11/01/2025,-32.8549,2.0688
10/08/2025,WL_RANCH_RN,RAMBLER_UNIT,PeakWE,11/01/2025,-3.8615,-2.7516
10/08/2025,WL_RANCH_RN,HB_HOUSTON,PeakWE,11/01/2025,-10.8601,-2.2217
10/08/2025,AEEC,SWTWN4_WND45,PeakWE,11/01/2025,-0.5936,1.8799
10/08/2025,AEEC,LZ_WEST,PeakWE,11/01/2025,1.9682,17.8675
10/08/2025,STELLA_RN,COL_COLETOG1,PeakWE,11/01/2025,-3.6777,2.3586
10/08/2025,WHITE_PT_UN1,PANDA_S_ST1,PeakWE,11/01/2025,-6.5484,0.9517
10/08/2025,BAC_RN_ALL,ALVIN_RN,PeakWE,11/01/2025,-7.1042,-6.5198
10/08/2025,SHANNONW_RN,SHEEPCRK_1,PeakWE,11/01/2025,-2.4463,-0.7587
10/08/2025,STP_STP_G1,BAYC_BESS_RN,PeakWE,11/01/2025,-5.8146,3.2892
10/08/2025,STEAM_ENG123,CONIGLIO_RN,PeakWE,11/01/2025,-3.0905,-0.9825
10/08/2025,SPNC_SPNCE_5,WCPP_ST1,PeakWE,11/01/2025,-6.4576,-0.4771
10/08/2025,SPNC_SPNCE_5,TURQ_BESS1,PeakWE,11/01/2025,-4.8607,0.9761
10/08/2025,SJS_SJS_G2,HB_HOUSTON,PeakWE,11/01/2025,-6.1458,-1.0748
10/08/2025,SCSES_UNIT2,FREC_1_CCU,PeakWE,11/01/2025,-0.944,0.0
10/08/2025,SCLP_PUN4,DAN_ALL,PeakWE,11/01/2025,-8.5663,-2.0134
10/08/2025,SANDHSYD1_2,HAYSEN1_2,PeakWE,11/01/2025,-7.59,-1.0149
10/08/2025,RAYB_G78910,SKY1,PeakWE,11/01/2025,-3.5832,-0.8379
10/08/2025,RAYB_G78910,NF_BRP_RN,PeakWE,11/01/2025,-2.8342,-1.0307
10/08/2025,RAYB_G78910,LON_RN1,PeakWE,11/01/2025,-13.8137,-4.6039
10/08/2025,PYR_PYRON1,TNSKA_CCU,PeakWE,11/01/2025,-8.1255,0.3452
10/08/2025,PSG_PSG_GT3,CBY4_ALL,PeakWE,11/01/2025,-2.4117,-0.1415
10/08/2025,PB2SES_CT3,RN_ECEC_HOLT,PeakWE,11/01/2025,-10.518,-2.3274
10/08/2025,PB2SES_CT3,JDKNS_RN,PeakWE,11/01/2025,-7.8183,-2.36
10/08/2025,PB2SES_CT2,W_PECO_UNIT1,PeakWE,11/01/2025,-2.5785,-1.3034
10/08/2025,OXY_PUN2,SAN_SANMIGG1,PeakWE,11/01/2025,-0.9042,1.8727
10/08/2025,OLIN_OLING_1,TTRSW_RN,PeakWE,11/01/2025,-9.3075,-0.8134
10/08/2025,VERAWIND_ALL,SUNVASLR_ALL,PeakWE,11/01/2025,-16.5356,-1.0722
10/08/2025,AMO_AMOCO_G1,MASSENGL_G8,PeakWE,11/01/2025,-41.1993,-22.189
10/08/2025,AMOCO_PUN1,BAC_RN_ALL,PeakWE,11/01/2025,-1.5337,-0.28
10/08/2025,LZ_WEST,HICK_G1_G2,PeakWE,11/01/2025,-7.897,-4.92
10/08/2025,LZ_WEST,WL_RANCH_RN,PeakWE,11/01/2025,-19.5231,-7.279
10/08/2025,LZ_RAYBN,MDANP_CT1_2,PeakWE,11/01/2025,-6.5626,-2.0608
10/08/2025,LZ_RAYBN,AQUI_ALL,PeakWE,11/01/2025,-17.5621,-2.0169
10/08/2025,LZ_LCRA,LFSTH_RN,PeakWE,11/01/2025,-14.2958,-6.0562
10/08/2025,LZ_LCRA,CHIL_SLR,PeakWE,11/01/2025,-13.1997,-5.8185
10/08/2025,LZ_CPS,HHGT_KENDAL,PeakWE,11/01/2025,-11.9575,-1.6078
10/08/2025,HB_WEST,LZ_LCRA,PeakWE,11/01/2025,-5.2013,1.3459
10/08/2025,HB_WEST,MAR_MARSFOG2,PeakWE,11/01/2025,-6.0198,2.2723
10/08/2025,HB_WEST,SNY_BESS_RN,PeakWE,11/01/2025,-3.0858,0.98
10/08/2025,HB_WEST,FLCNS_UNIT3,PeakWE,11/01/2025,-0.3779,-4.388
10/08/2025,SADLBACK_RN,LZ_WEST,PeakWE,11/01/2025,-6.8051,-3.7046
10/08/2025,CHISMGRD_RN,DIBOL_RN,PeakWE,11/01/2025,-8.0677,0.6202
10/08/2025,TRUENO_ALL,LMAJADAS_ALL,PeakWE,11/01/2025,-6.6543,-2.0524
10/08/2025,AJAXWIND_RN,BCATWD_WD_1,PeakWE,11/01/2025,-2.7569,0.3943
10/08/2025,HB_PAN,HB_NORTH,PeakWE,11/01/2025,-0.4544,4.6405
10/08/2025,TRUENO_ALL,HB_SOUTH,PeakWE,11/01/2025,0.3607,7.78
10/08/2025,TRUENO_ALL,SIL_SILAS_10,PeakWE,11/01/2025,-0.8739,0.7517
10/08/2025,TRUENO_ALL,B_DAVIS_3,PeakWE,11/01/2025,-26.5562,2.6613
10/08/2025,AJAXWIND_RN,PORTSL_UNIT1,PeakWE,11/01/2025,-0.2098,0.3017
10/08/2025,AQUI_ALL,WND_WHITNEY,PeakWE,11/01/2025,-0.2873,4.9629
10/08/2025,AQUI_ALL,MRKM_SLR_RN,PeakWE,11/01/2025,-1.4965,4.9129
10/08/2025,GRIF_TRL_RN,FOARDCTY_ALL,PeakWE,11/01/2025,-1.893,-0.1983
10/08/2025,GRIF_TRL_RN,IMP_RN1,PeakWE,11/01/2025,-5.7569,1.838
10/08/2025,GRIF_TRL_RN,MERCURY_ALL,PeakWE,11/01/2025,-16.669,-1.2689
10/08/2025,PALMWI_UNIT1,CHALUP_ALL,PeakWE,11/01/2025,-4.0578,1.6209
10/08/2025,PALMWI_UNIT1,L_FRE_ESR_RN,PeakWE,11/01/2025,-4.4216,2.6813
10/08/2025,BSS_U1,BVE_UNIT1,PeakWE,11/01/2025,-6.8902,-0.4247
10/08/2025,W_PECO_UNIT1,REROCK_ALL,PeakWE,11/01/2025,-2.9954,-1.0362
10/08/2025,CITYVICT_ALL,SAN_SANMIGG1,PeakWE,11/01/2025,-12.8781,-1.0468
10/08/2025,CITYVICT_ALL,ECLIPSE_UN1,PeakWE,11/01/2025,-9.9074,10.3391
10/08/2025,BRP_ZPT2_RN,EXGNSND_RN,PeakWE,11/01/2025,-0.9131,0.07
10/08/2025,RN_TOSBATT,SWOOSE1_U1,PeakWE,11/01/2025,-10.9768,12.8143
10/08/2025,MIAM1_G1_G2,WAKEWE_ALL,PeakWE,11/01/2025,-2.3602,1.0486
10/08/2025,MIAM1_G1_G2,AEEC,PeakWE,11/01/2025,-6.0098,-1.6926
10/08/2025,HICK_G1_G2,HB_NORTH,PeakWE,11/01/2025,-26.0347,3.6482
10/08/2025,HICK_G1_G2,ELB_ELBCREEK,PeakWE,11/01/2025,-38.2445,-3.9675
10/08/2025,HICK_G1_G2,SWOOSE1_U1,PeakWE,11/01/2025,-2.489,8.2351
10/08/2025,RSK_RN,OWF_OWF,PeakWE,11/01/2025,-16.2085,-0.8915
10/08/2025,TORR_ALL,KARAKAW1_1,PeakWE,11/01/2025,-3.2002,-0.0969
10/08/2025,TORR_ALL,TYNAN_RN,PeakWE,11/01/2025,-1.7238,3.5714
10/08/2025,WL_RANCH_RN,BLSMT1_5_A_6,PeakWE,11/01/2025,-19.159,-7.2233
10/08/2025,WHITE_PT_UN1,OXY_PUN2,PeakWE,11/01/2025,-3.911,-0.0635
10/08/2025,WHITE_PT_UN1,LV3_UNIT1,PeakWE,11/01/2025,-19.2632,-1.6839
10/08/2025,WHITE_PT_UN1,PISG_RN_ALL,PeakWE,11/01/2025,-6.2935,1.1297
10/08/2025,SHEEPCRK_1,JCKCNTY2_ST2,PeakWE,11/01/2025,-1.2419,0.456
10/08/2025,MYR_ALL,BYU_BYU_1,PeakWE,11/01/2025,-0.4508,1.3953
10/08/2025,MISAE_GEN_RN,HB_PAN,PeakWE,11/01/2025,-2.3002,-0.253
10/08/2025,MISAE_GEN_RN,FILESSLR_PV1,PeakWE,11/01/2025,-16.8661,0.0595
10/08/2025,T_CK_GT3_RN,SIL_SILAS_9,PeakWE,11/01/2025,-90.0886,-10.7249
10/08/2025,T_CK_GT3_RN,HB_BUSAVG,PeakWE,11/01/2025,-26.925,-8.6915
10/08/2025,ERSL_RN,FPPYD_FPP_G3,PeakWE,11/01/2025,-10.264,-7.0513
10/08/2025,BATCAVE_RN,JUNCTION_RN,PeakWE,11/01/2025,-20.748,-0.4481
10/08/2025,BATCAVE_RN,MRKM_SLR_RN,PeakWE,11/01/2025,-17.9462,-4.0237
10/08/2025,INRT_W_ALL,HB_NORTH,PeakWE,11/01/2025,-0.6502,1.7274
10/08/2025,INRT_W_ALL,AZURE_RN,PeakWE,11/01/2025,-0.0532,0.19
10/08/2025,YNG_WND_ALL,SENATEWD_1,PeakWE,11/01/2025,-0.6968,0.189
10/08/2025,AGUAYO_UNIT1,CPSES_UNIT1,PeakWE,11/01/2025,-8.8222,-1.6145
10/08/2025,AGUAYO_UNIT1,BOSQ_BSQS_34,PeakWE,11/01/2025,-8.2026,-0.8021
10/08/2025,AGUAYO_UNIT1,CRWN_SLR_UN1,PeakWE,11/01/2025,-15.659,0.8223
10/08/2025,EUNICE_ALL,BOOTLEG_UN1,PeakWE,11/01/2025,-3.2041,-3.6686
10/08/2025,PHILLWND_ALL,RN_DEC_AGR_B,PeakWE,11/01/2025,-16.5496,-3.9897
10/08/2025,PHILLWND_ALL,MRKM_SLR_RN,PeakWE,11/01/2025,-0.6718,-1.2177
10/08/2025,TI_SOLAR_ALL,CHAL_SLR_RN,PeakWE,11/01/2025,-0.105,0.1901
10/08/2025,EBELLS_UNIT1,FIVEWSLR_ALL,PeakWE,11/01/2025,-1.1873,-0.2561
10/08/2025,CORALSLR_ALL,FREC_1_CCU,PeakWE,11/01/2025,-4.1663,-0.6538
10/08/2025,CR_RN,PAULN_RN,PeakWE,11/01/2025,-10.1993,-1.706
10/08/2025,DSWL_BES1,LZ_NORTH,PeakWE,11/01/2025,-1.4793,-0.1274
10/08/2025,ROSELAND_ALL,KELAMSL_U1,PeakWE,11/01/2025,-4.0736,0.1466
10/08/2025,RBN_BESS1,WAP_WAPGT_1,PeakWE,11/01/2025,-0.9437,-0.7552
10/08/2025,RVRVLYS_ALL,WEBBER_WS_T1,PeakWE,11/01/2025,-2.9025,-0.4519
10/08/2025,POTSVIL_RN,PRID_RN,PeakWE,11/01/2025,-17.3057,-3.816
10/08/2025,POTSVIL_RN,EMPCT_RN,PeakWE,11/01/2025,-14.3501,-3.7532
10/08/2025,QUEEN_SL_RN,BOOTLEG_UN1,PeakWE,11/01/2025,-1.6829,-1.0106
10/08/2025,FLTBES1,SG_BES_BESS1,PeakWE,11/01/2025,-3.8097,-0.3538
10/08/2025,WRSBES_BESS1,GREASWOD_ALL,PeakWE,11/01/2025,-7.4753,-2.9647
10/08/2025,WH_WIND_ALL,CALLAHA_WND1,PeakWE,11/01/2025,-20.9874,0.7168
10/08/2025,WH_WIND_ALL,PORTSL_UNIT1,PeakWE,11/01/2025,-1.9705,-0.4865
10/08/2025,WH_WIND_ALL,WCPP_CT2,PeakWE,11/01/2025,-1.9636,0.0507
10/08/2025,GRDNE_ESR_RN,JUNCTION_RN,PeakWE,11/01/2025,-39.436,-7.68
10/08/2025,SROSA_ESR_RN,FALFUR_RN,PeakWE,11/01/2025,-4.2239,-0.5405
10/08/2025,PITSDD_UNIT1,LZ_NORTH,PeakWE,11/01/2025,-2.4077,-0.8626
10/08/2025,ZIER_SLR_ALL,HAMI_BESS_RN,PeakWE,11/01/2025,-18.5269,2.3843
10/08/2025,HRZN_SLR_UN1,HELIOS_RN,PeakWE,11/01/2025,-0.4335,2.0269
10/08/2025,N_MRD_ESR_RN,MV_VALV4_RN,PeakWE,11/01/2025,-13.7286,-0.2238
10/08/2025,N_MRD_ESR_RN,ELSA_ESR_RN,PeakWE,11/01/2025,-12.8266,-0.1864
10/08/2025,TREB_SOLAR1,AMISTAD_ALL,PeakWE,11/01/2025,-22.1647,9.8963
10/08/2025,CN_BRKS_UNT1,LNCRK_ALL,PeakWE,11/01/2025,0.0862,1.9646
10/08/2025,CN_BRKS_UNT1,VERTIGO_UN1,PeakWE,11/01/2025,-8.5653,1.5208
10/08/2025,CN_BRKS_UNT1,AEEC,PeakWE,11/01/2025,-3.8134,-1.2085
10/08/2025,CALAVER_OWS2,X443ESRN,PeakWE,11/01/2025,-0.3136,0.2311
10/08/2025,B_D_B_DAVIG2,CRANELL_ALL,PeakWE,11/01/2025,-2.7173,-3.4873
10/08/2025,B_D_B_DAVIG1,CRANELL_ALL,PeakWE,11/01/2025,-2.7173,-3.4873
10/08/2025,B_D_B_DAVIG1,NCARBID_PUN1,PeakWE,11/01/2025,-1.4557,3.0201
10/08/2025,B_DAVIS_3,CCEC_GT1,PeakWE,11/01/2025,-8.7656,-0.45
10/08/2025,BVE_UNIT1,THW_1_CCU,PeakWE,11/01/2025,-0.2843,2.2262
10/08/2025,BUFF_GAP_ALL,SGM_SIGNALMT,PeakWE,11/01/2025,-1.1631,-2.69
10/08/2025,BUFF_GAP_ALL,FLUVANNA_1_2,PeakWE,11/01/2025,-12.4849,-0.5738
10/08/2025,BUFF_GAP_ALL,PORTSL_UNIT1,PeakWE,11/01/2025,-2.9768,-2.2526
10/08/2025,BUFF_GAP_ALL,RN_RTS1,PeakWE,11/01/2025,-1.276,-0.4424
10/08/2025,BUFF_GAP_ALL,GALO_RN1,PeakWE,11/01/2025,-0.9772,-0.3423
10/08/2025,BRTSW_BCW1,JAY_RN_1,PeakWE,11/01/2025,-28.8272,-1.4709
10/08/2025,BRA_AVR1_CT2,CALAVER_JTD1,PeakWE,11/01/2025,-0.9975,-0.4428
10/08/2025,BASTEN_CCU,LZ_LCRA,PeakWE,11/01/2025,-0.481,-0.7729
10/08/2025,BASTEN_CCU,RIONOG_CT1,PeakWE,11/01/2025,-3.9814,-0.415
10/08/2025,BASTEN_CCU,LOS_LOSTPGT2,PeakWE,11/01/2025,-3.8101,-3.7729
10/08/2025,AZ_ALL,BTE_PUN2,PeakWE,11/01/2025,-2.7037,-0.3667
10/08/2025,AMOCO_PUN1,BRHEIGHT_RN,PeakWE,11/01/2025,-0.1734,-0.0836
10/08/2025,LZ_WEST,LAMESASLR_G,PeakWE,11/01/2025,-28.5237,4.8547
10/08/2025,LZ_RAYBN,PHILLWND_ALL,PeakWE,11/01/2025,-7.0276,-1.7265
10/08/2025,LZ_RAYBN,LILY_RN,PeakWE,11/01/2025,-2.7175,-1.5344
10/08/2025,LZ_RAYBN,MCSES_UNIT7,PeakWE,11/01/2025,-3.2611,-0.3849
10/08/2025,LZ_RAYBN,LZ_NORTH,PeakWE,11/01/2025,-2.6456,-0.5431
10/08/2025,LZ_NORTH,STEAM_ENG123,PeakWE,11/01/2025,-0.9594,-0.4603
10/08/2025,LZ_LCRA,SAN_SANMIGG1,PeakWE,11/01/2025,-90.946,-9.8572
10/08/2025,LZ_HOUSTON,HB_HOUSTON,PeakWE,11/01/2025,-1.4206,-0.75
10/08/2025,EIFSLR_UNIT1,TTRSW_RN,PeakWE,11/01/2025,-1.7291,0.2997
10/08/2025,CANYONWD_ALL,HB_WEST,PeakWE,11/01/2025,-0.7924,2.1013
10/08/2025,CANYONWD_ALL,HLSES_UNIT4,PeakWE,11/01/2025,-6.2628,0.1502
10/08/2025,MISAE_GEN_RN,WAKEWE_ALL,PeakWE,11/01/2025,-2.8181,0.7882
10/08/2025,MISAE_GEN_RN,MASSENGL_G8,PeakWE,11/01/2025,-25.8557,-9.361
10/08/2025,T_CK_GT3_RN,CSC_CSECG1_2,PeakWE,11/01/2025,-26.5668,-7.9113
10/08/2025,T_CK_GT3_RN,CALLAHA_WND1,PeakWE,11/01/2025,-29.0654,-8.8483
10/08/2025,T_CK_GT3_RN,CFLATS_UNIT,PeakWE,11/01/2025,-25.8178,-6.4566
10/08/2025,T_CK_GT3_RN,BATCAVE_RN,PeakWE,11/01/2025,-24.9286,-5.9252
10/08/2025,T_CK_GT2_RN,BRANDON_RN,PeakWE,11/01/2025,-32.5934,-13.8743
10/08/2025,T_CK_GT2_RN,EMPCT_RN,PeakWE,11/01/2025,-28.2283,-8.3147
10/08/2025,TAYGETE2_ALL,FLOWERII_RN,PeakWE,11/01/2025,-0.4384,1.4681
10/08/2025,SLCN_ESS_ALL,RHESS2_ESS1,PeakWE,11/01/2025,-0.3617,10.0
10/08/2025,YNG_WND_ALL,INRT_W_ALL,PeakWE,11/01/2025,-1.3647,-0.5394
10/08/2025,YNG_WND_ALL,GRSES_UNIT1,PeakWE,11/01/2025,-2.5914,0.9364
10/08/2025,WILDWIND_ALL,DC_E,PeakWE,11/01/2025,-3.2085,-0.3544
10/08/2025,EUNICE_ALL,BARROW_ALL,PeakWE,11/01/2025,-0.3538,1.0974
10/08/2025,EUNICE_ALL,LAPETUS_U1,PeakWE,11/01/2025,-0.4641,0.022
10/08/2025,ANSON1_ALL,WH_WIND_ALL,PeakWE,11/01/2025,-1.5658,-0.4138
10/08/2025,PHILLWND_ALL,MLSES_UNIT1,PeakWE,11/01/2025,-2.8236,-1.114
10/08/2025,PHILLWND_ALL,TGCCS_ALL,PeakWE,11/01/2025,-2.7268,-1.1574
10/08/2025,PHILLWND_ALL,BOSQ_BSQS_34,PeakWE,11/01/2025,-0.7232,-1.7918
10/08/2025,PHILLWND_ALL,VISION_RN,PeakWE,11/01/2025,-1.6592,-0.5965
10/08/2025,BLSMT1_5_A_6,NWF_NWF1,PeakWD,11/01/2025,0.8846,18.9931
10/08/2025,MOZART_WIND1,ELB_ELBCREEK,PeakWD,11/01/2025,-17.4145,1.3588
10/08/2025,BCATWD_WD_1,WFCOGEN_24,PeakWD,11/01/2025,-1.1828,0.69
10/08/2025,SCES_UNIT1,HB_NORTH,PeakWD,11/01/2025,-2.7709,1.1159
10/08/2025,PROSPERO_ALL,LAPETUS_U1,PeakWD,11/01/2025,-0.1663,1.3732
10/08/2025,PROSPERO_ALL,NWF_NWF1,PeakWD,11/01/2025,-0.158,0.7978
10/08/2025,EIFSLR_UNIT1,ESTONIAN_ALL,PeakWD,11/01/2025,-0.0768,0.1747
10/08/2025,BYU_G4_RN,THW_2_CCU,PeakWD,11/01/2025,-7.289,-1.3374
