CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
186431953,XSWPWR,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,1.0,0.188536
186443045,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,15.0,0.244372
186443046,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,1.0,0.244372
186443047,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,1.0,0.244372
186443048,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,1.0,0.244372
186443049,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,2.0,0.244372
186443050,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,2.0,0.244372
186443051,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,3.0,0.244372
186443052,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,5.0,0.244372
186443053,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,5.0,0.244372
186443054,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,5.0,0.244372
186443055,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,10.0,0.244372
186443056,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,10.0,0.244372
186443057,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,10.0,0.244372
186443058,XMETT3,FREC_1_CCU,FREC_2_CCU,OPT,PeakWE,10.0,0.244372
186434854,XSUEZI,HHOLLW2_WND1,FREC_2_CCU,OBL,PeakWE,1.2,0.620802
186434855,XSUEZI,HHOLLW2_WND1,FREC_2_CCU,OBL,PeakWE,1.2,0.620802
186434856,XSUEZI,HHOLLW2_WND1,FREC_2_CCU,OBL,PeakWE,3.0,0.620802
186434857,XSUEZI,HHOLLW2_WND1,FREC_2_CCU,OBL,PeakWE,6.0,0.620802
186531582,XLELAN,SC2SES_UNIT1,FREC_2_CCU,OPT,PeakWE,4.0,0.73881
186444248,XSARA3,RIOG_ESR_RN,CONTINEN_RN,OPT,PeakWE,2.2,0.28
186598028,XUNTX3,RIOG_ESR_RN,CONTINEN_RN,OPT,PeakWE,2.8,0.258909
186633574,XPERA1,RIOG_ESR_RN,CONTINEN_RN,OPT,PeakWE,0.4,0.258909
186564631,XCDAFP,CHEDPW_GT2,CVC_CVC_G2,OPT,PeakWE,62.0,0.02
186455880,XBIOUR,CBECII_CT7,CVC_CVC_G2,OPT,PeakWE,0.6,7.796562
186597592,XUNTX3,HICK_G1_G2,GALO_RN1,OPT,PeakWE,1.3,0.924963
186382617,XDCENG,WHMESA_U1,GALO_RN1,OPT,PeakWE,12.5,1.011385
186384422,XDCEN3,WHMESA_U1,GALO_RN1,OPT,PeakWE,12.5,1.011385
